goId,goName,countDE,countAll,pv
GO:0034399,nuclear periphery,28,122,0.00186
GO:0000151,ubiquitin ligase complex,44,218,0.00201
GO:0097149,centralspindlin complex,3,3,0.00223
GO:0032587,ruffle membrane,22,90,0.00238
GO:0000781,"chromosome, telomeric region",30,136,0.0025
GO:0035371,microtubule plus-end,7,16,0.00251
GO:0032154,cleavage furrow,15,53,0.00253
GO:0072686,mitotic spindle,23,96,0.00254
GO:0031965,nuclear membrane,53,277,0.00257
GO:0030133,transport vesicle,62,335,0.00269
GO:1902494,catalytic complex,170,1068,0.00295
GO:0032432,actin filament bundle,16,59,0.00297
GO:0071204,histone pre-mRNA 3'end processing complex,4,6,0.0035
GO:0031091,platelet alpha granule,21,88,0.00402
GO:0005874,microtubule,63,348,0.00423
GO:0001725,stress fiber,15,56,0.0045
GO:0097517,contractile actin filament bundle,15,56,0.0045
GO:0044309,neuron spine,30,142,0.0049
GO:0005938,cell cortex,43,222,0.00493
GO:0045171,intercellular bridge,15,57,0.00539
GO:0042383,sarcolemma,27,125,0.0054
GO:0005614,interstitial matrix,5,10,0.0054
GO:0000790,nuclear chromatin,51,274,0.00542
GO:0031362,anchored component of external side of plasma membrane,6,14,0.00581
GO:0005730,nucleolus,136,849,0.00599
GO:0030134,COPII-coated ER to Golgi transport vesicle,16,63,0.00599
GO:0030135,coated vesicle,47,250,0.0061
GO:0043197,dendritic spine,29,139,0.00672
GO:0030660,Golgi-associated vesicle membrane,21,92,0.00692
GO:0000778,condensed nuclear chromosome kinetochore,4,7,0.00733
GO:0016604,nuclear body,116,717,0.00787
GO:0005757,mitochondrial permeability transition pore complex,3,4,0.00804
GO:0005862,muscle thin filament tropomyosin,3,4,0.00804
GO:0030485,smooth muscle contractile fiber,3,4,0.00804
GO:0032133,chromosome passenger complex,3,4,0.00804
GO:0031093,platelet alpha granule lumen,16,65,0.00823
GO:0031461,cullin-RING ubiquitin ligase complex,26,123,0.00834
GO:0012507,ER to Golgi transport vesicle membrane,13,49,0.00861
GO:0071437,invadopodium,6,15,0.00863
GO:0031094,platelet dense tubular network,5,11,0.00885
GO:0005923,bicellular tight junction,24,112,0.00926
GO:0042641,actomyosin,16,66,0.00958
GO:0005680,anaphase-promoting complex,7,20,0.01059
GO:0009897,external side of plasma membrane,37,194,0.01103
GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,16,67,0.0111
GO:0031410,cytoplasmic vesicle,308,2101,0.01169
GO:0030663,COPI-coated vesicle membrane,6,16,0.01231
GO:0097708,intracellular vesicle,308,2104,0.01257
GO:1990234,transferase complex,95,583,0.01257
GO:0043296,apical junction complex,26,127,0.01261
GO:0005794,Golgi apparatus,207,1374,0.013
GO:0043218,compact myelin,5,12,0.01356
GO:0030662,coated vesicle membrane,31,159,0.01392
GO:0090734,site of DNA damage,15,63,0.01405
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,13,52,0.01435
GO:0099568,cytoplasmic region,66,389,0.01493
GO:0098562,cytoplasmic side of membrane,27,135,0.01508
GO:0044420,extracellular matrix component,12,47,0.01548
GO:0070160,tight junction,24,117,0.01571
GO:0030667,secretory granule membrane,50,284,0.01653
GO:0097447,dendritic tree,82,500,0.01669
GO:0098858,actin-based cell projection,36,193,0.01678
GO:0005657,replication fork,13,53,0.0168
GO:0044291,cell-cell contact zone,16,70,0.01681
GO:0005608,laminin-3 complex,2,2,0.01707
GO:0016222,procollagen-proline 4-dioxygenase complex,2,2,0.01707
GO:0032301,MutSalpha complex,2,2,0.01707
GO:0042571,"immunoglobulin complex, circulating",2,2,0.01707
GO:0071753,IgM immunoglobulin complex,2,2,0.01707
GO:0071754,"IgM immunoglobulin complex, circulating",2,2,0.01707
GO:0071756,pentameric IgM immunoglobulin complex,2,2,0.01707
GO:0097125,cyclin B1-CDK1 complex,2,2,0.01707
GO:0098805,whole membrane,228,1536,0.01749
GO:0009898,cytoplasmic side of plasma membrane,23,112,0.01755
GO:0000408,EKC/KEOPS complex,3,5,0.01815
GO:0005663,DNA replication factor C complex,3,5,0.01815
GO:0033093,Weibel-Palade body,3,5,0.01815
GO:0070765,gamma-secretase complex,3,5,0.01815
GO:0097418,neurofibrillary tangle,3,5,0.01815
GO:0098826,endoplasmic reticulum tubular network membrane,3,5,0.01815
GO:0097346,INO80-type complex,7,22,0.01844
GO:0051233,spindle midzone,8,27,0.01875
GO:0030425,dendrite,81,498,0.02081
GO:1904813,ficolin-1-rich granule lumen,24,120,0.02104
GO:0000145,exocyst,4,9,0.02124
GO:0031095,platelet dense tubular network membrane,4,9,0.02124
GO:0035861,site of double-strand break,12,49,0.02139
GO:0016363,nuclear matrix,21,102,0.02193
GO:0044433,cytoplasmic vesicle part,207,1393,0.02206
GO:0046930,pore complex,6,18,0.02268
GO:0000784,"nuclear chromosome, telomeric region",21,103,0.02426
GO:0042470,melanosome,21,103,0.02426
GO:0048770,pigment granule,21,103,0.02426
GO:0060205,cytoplasmic vesicle lumen,55,324,0.02429
GO:0036477,somatodendritic compartment,110,704,0.02456
GO:0014704,intercalated disc,12,50,0.0249
GO:0031983,vesicle lumen,55,325,0.02564
GO:0005798,Golgi-associated vesicle,26,135,0.02632
GO:0099081,supramolecular polymer,117,756,0.02701
GO:0005769,early endosome,55,326,0.02704
GO:0018995,host,15,68,0.02738
GO:0043657,host cell,15,68,0.02738
GO:0045120,pronucleus,5,14,0.02741
GO:0099080,supramolecular complex,117,757,0.02795
GO:0099512,supramolecular fiber,116,750,0.02802
GO:0044451,nucleoplasm part,147,972,0.0295
GO:0031233,intrinsic component of external side of plasma membrane,6,19,0.02958
GO:0071782,endoplasmic reticulum tubular network,6,19,0.02958
GO:0016528,sarcoplasm,16,75,0.03103
GO:0005885,Arp2/3 protein complex,4,10,0.0318
GO:0017059,serine C-palmitoyltransferase complex,3,6,0.0328
GO:0031211,endoplasmic reticulum palmitoyltransferase complex,3,6,0.0328
GO:0044327,dendritic spine head,3,6,0.0328
GO:0097136,Bcl-2 family protein complex,3,6,0.0328
GO:1905961,protein-cysteine S-palmitoyltransferase complex,3,6,0.0328
GO:0034774,secretory granule lumen,52,310,0.03389
GO:0044432,endoplasmic reticulum part,182,1229,0.03423
GO:0031011,Ino80 complex,5,15,0.0368
GO:0033202,DNA helicase complex,5,15,0.0368
GO:0005783,endoplasmic reticulum,244,1684,0.03766
GO:0098590,plasma membrane region,163,1096,0.03826
GO:0043209,myelin sheath,10,42,0.04069
GO:0030027,lamellipodium,33,187,0.04333
GO:0012506,vesicle membrane,111,728,0.04387
GO:0032585,multivesicular body membrane,4,11,0.04492
GO:0005899,insulin receptor complex,2,3,0.04675
GO:0005967,mitochondrial pyruvate dehydrogenase complex,2,3,0.04675
GO:0009331,glycerol-3-phosphate dehydrogenase complex,2,3,0.04675
GO:0030934,anchoring collagen complex,2,3,0.04675
GO:0031597,cytosolic proteasome complex,2,3,0.04675
GO:0032300,mismatch repair complex,2,3,0.04675
GO:0034666,integrin alpha2-beta1 complex,2,3,0.04675
GO:0097452,GAIT complex,2,3,0.04675
GO:1901588,dendritic microtubule,2,3,0.04675
GO:1990423,RZZ complex,2,3,0.04675
GO:0031256,leading edge membrane,27,149,0.04758
GO:0000780,"condensed nuclear chromosome, centromeric region",5,16,0.04793
GO:0030014,CCR4-NOT complex,5,16,0.04793
GO:0000794,condensed nuclear chromosome,15,73,0.04833
GO:0044215,other organism,15,73,0.04833
GO:0044216,other organism cell,15,73,0.04833
GO:0044217,other organism part,15,73,0.04833
GO:0005788,endoplasmic reticulum lumen,49,297,0.04939
GO:0005828,kinetochore microtubule,3,7,0.05191
GO:0030056,hemidesmosome,3,7,0.05191
GO:0032593,insulin-responsive compartment,3,7,0.05191
GO:0036449,microtubule minus-end,3,7,0.05191
GO:0043020,NADPH oxidase complex,3,7,0.05191
GO:0098685,Schaffer collateral - CA1 synapse,16,80,0.05259
GO:0044449,contractile fiber part,32,185,0.05801
GO:0042613,MHC class II protein complex,4,12,0.06061
GO:0005643,nuclear pore,12,57,0.06191
GO:0002102,podosome,7,28,0.06396
GO:0031201,SNARE complex,7,28,0.06396
GO:0005902,microvillus,15,76,0.06525
GO:0035579,specific granule membrane,17,89,0.06753
GO:0030137,COPI-coated vesicle,6,23,0.07003
GO:0035068,micro-ribonucleoprotein complex,6,23,0.07003
GO:0043292,contractile fiber,34,202,0.07133
GO:0031253,cell projection membrane,49,305,0.07195
GO:0030659,cytoplasmic vesicle membrane,106,709,0.07328
GO:0070821,tertiary granule membrane,14,71,0.07362
GO:0043256,laminin complex,3,8,0.07517
GO:0000803,sex chromosome,7,29,0.0752
GO:0005790,smooth endoplasmic reticulum,7,29,0.0752
GO:0080008,Cul4-RING E3 ubiquitin ligase complex,7,29,0.0752
GO:0032433,filopodium tip,5,18,0.07552
GO:0043034,costamere,5,18,0.07552
GO:0031519,PcG protein complex,9,41,0.07895
GO:0044448,cell cortex part,22,124,0.08227
GO:0045335,phagocytic vesicle,22,124,0.08227
GO:0016529,sarcoplasmic reticulum,13,66,0.0832
GO:0071556,integral component of lumenal side of endoplasmic reticulum membrane,6,24,0.08349
GO:0098553,lumenal side of endoplasmic reticulum membrane,6,24,0.08349
GO:0005955,calcineurin complex,2,4,0.08546
GO:0014802,terminal cisterna,2,4,0.08546
GO:0016602,CCAAT-binding factor complex,2,4,0.08546
GO:0019814,immunoglobulin complex,2,4,0.08546
GO:0030289,protein phosphatase 4 complex,2,4,0.08546
GO:0030478,actin cap,2,4,0.08546
GO:0032010,phagolysosome,2,4,0.08546
GO:0032449,CBM complex,2,4,0.08546
GO:0035867,alphav-beta3 integrin-IGF-1-IGF1R complex,2,4,0.08546
GO:0071953,elastic fiber,2,4,0.08546
GO:0016607,nuclear speck,58,372,0.08552
GO:0044431,Golgi apparatus part,124,845,0.08647
GO:0005796,Golgi lumen,17,92,0.08669
GO:0010494,cytoplasmic stress granule,11,54,0.08717
GO:0099023,tethering complex,11,54,0.08717
GO:0034451,centriolar satellite,7,30,0.08753
GO:0016327,apicolateral plasma membrane,5,19,0.09192
GO:0032993,protein-DNA complex,24,139,0.09206
GO:0042995,cell projection,260,1848,0.09366
GO:0101002,ficolin-1-rich granule,30,180,0.09469
GO:0045177,apical part of cell,55,354,0.09641
GO:0031526,brush border membrane,10,49,0.09892
GO:0030136,clathrin-coated vesicle,29,174,0.09897
GO:0010369,chromocenter,4,14,0.09934
GO:0005811,lipid droplet,13,68,0.10024
GO:0000805,X chromosome,3,9,0.10213
GO:0000812,Swr1 complex,3,9,0.10213
GO:0000815,ESCRT III complex,3,9,0.10213
GO:0005641,nuclear envelope lumen,3,9,0.10213
GO:0034663,endoplasmic reticulum chaperone complex,3,9,0.10213
GO:0070578,RISC-loading complex,3,9,0.10213
GO:0072687,meiotic spindle,3,9,0.10213
GO:0098978,glutamatergic synapse,53,343,0.10851
GO:0030894,replisome,5,20,0.10999
GO:0042611,MHC protein complex,5,20,0.10999
GO:0098827,endoplasmic reticulum subcompartment,138,958,0.11254
GO:0044459,plasma membrane part,303,2180,0.11421
GO:0008287,protein serine/threonine phosphatase complex,8,38,0.11452
GO:1903293,phosphatase complex,8,38,0.11452
GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,140,974,0.11598
GO:0014069,postsynaptic density,44,282,0.11936
GO:0042581,specific granule,26,157,0.11965
GO:0005789,endoplasmic reticulum membrane,137,954,0.12115
GO:0030315,T-tubule,10,51,0.12159
GO:0005581,collagen trimer,14,77,0.12404
GO:0016605,PML body,17,97,0.12572
GO:0030904,retromer complex,5,21,0.12963
GO:0001740,Barr body,2,5,0.13034
GO:0005638,lamin filament,2,5,0.13034
GO:0005642,annulate lamellae,2,5,0.13034
GO:0005749,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",2,5,0.13034
GO:0016942,insulin-like growth factor binding protein complex,2,5,0.13034
GO:0031415,NatA complex,2,5,0.13034
GO:0036021,endolysosome lumen,2,5,0.13034
GO:0036454,growth factor complex,2,5,0.13034
GO:0045180,basal cortex,2,5,0.13034
GO:0045257,succinate dehydrogenase complex (ubiquinone),2,5,0.13034
GO:0045273,respiratory chain complex II,2,5,0.13034
GO:0045281,succinate dehydrogenase complex,2,5,0.13034
GO:0045283,fumarate reductase complex,2,5,0.13034
GO:0070552,BRISC complex,2,5,0.13034
GO:0090724,central region of growth cone,2,5,0.13034
GO:0098536,deuterosome,2,5,0.13034
GO:1990111,spermatoproteasome complex,2,5,0.13034
GO:0000797,condensin core heterodimer,1,1,0.13068
GO:0000799,nuclear condensin complex,1,1,0.13068
GO:0005595,collagen type XII trimer,1,1,0.13068
GO:0005596,collagen type XIV trimer,1,1,0.13068
GO:0005898,interleukin-13 receptor complex,1,1,0.13068
GO:0005914,spot adherens junction,1,1,0.13068
GO:0005971,ribonucleoside-diphosphate reductase complex,1,1,0.13068
GO:0008541,"proteasome regulatory particle, lid subcomplex",1,1,0.13068
GO:0030015,CCR4-NOT core complex,1,1,0.13068
GO:0030892,mitotic cohesin complex,1,1,0.13068
GO:0032144,4-aminobutyrate transaminase complex,1,1,0.13068
GO:0032173,septin collar,1,1,0.13068
GO:0033167,ARC complex,1,1,0.13068
GO:0033193,Lsd1/2 complex,1,1,0.13068
GO:0033593,BRCA2-MAGE-D1 complex,1,1,0.13068
GO:0034592,synaptic vesicle lumen,1,1,0.13068
GO:0034677,integrin alpha7-beta1 complex,1,1,0.13068
GO:0034777,recycling endosome lumen,1,1,0.13068
GO:0035370,UBC13-UEV1A complex,1,1,0.13068
GO:0035525,NF-kappaB p50/p65 complex,1,1,0.13068
GO:0036024,protein C inhibitor-TMPRSS7 complex,1,1,0.13068
GO:0036025,protein C inhibitor-TMPRSS11E complex,1,1,0.13068
GO:0036026,protein C inhibitor-PLAT complex,1,1,0.13068
GO:0036027,protein C inhibitor-PLAU complex,1,1,0.13068
GO:0036028,protein C inhibitor-thrombin complex,1,1,0.13068
GO:0036029,protein C inhibitor-KLK3 complex,1,1,0.13068
GO:0036030,protein C inhibitor-plasma kallikrein complex,1,1,0.13068
GO:0036053,glomerular endothelium fenestra,1,1,0.13068
GO:0036398,TCR signalosome,1,1,0.13068
GO:0042568,insulin-like growth factor binary complex,1,1,0.13068
GO:0043509,activin A complex,1,1,0.13068
GO:0043626,PCNA complex,1,1,0.13068
GO:0044796,DNA polymerase processivity factor complex,1,1,0.13068
GO:0048180,activin complex,1,1,0.13068
GO:0061825,podosome core,1,1,0.13068
GO:0061831,apical ectoplasmic specialization,1,1,0.13068
GO:0070722,Tle3-Aes complex,1,1,0.13068
GO:0071745,IgA immunoglobulin complex,1,1,0.13068
GO:0071746,"IgA immunoglobulin complex, circulating",1,1,0.13068
GO:0071748,monomeric IgA immunoglobulin complex,1,1,0.13068
GO:0071749,polymeric IgA immunoglobulin complex,1,1,0.13068
GO:0071750,dimeric IgA immunoglobulin complex,1,1,0.13068
GO:0071751,secretory IgA immunoglobulin complex,1,1,0.13068
GO:0071752,secretory dimeric IgA immunoglobulin complex,1,1,0.13068
GO:0071757,hexameric IgM immunoglobulin complex,1,1,0.13068
GO:0075341,host cell PML body,1,1,0.13068
GO:0090534,calcium ion-transporting ATPase complex,1,1,0.13068
GO:0097144,BAX complex,1,1,0.13068
GO:0097181,protein C inhibitor-coagulation factor V complex,1,1,0.13068
GO:0097182,protein C inhibitor-coagulation factor Xa complex,1,1,0.13068
GO:0097183,protein C inhibitor-coagulation factor XI complex,1,1,0.13068
GO:0097226,sperm mitochondrial sheath,1,1,0.13068
GO:0097356,perinucleolar compartment,1,1,0.13068
GO:0098898,dense core granule lumen,1,1,0.13068
GO:0099013,neuronal dense core vesicle lumen,1,1,0.13068
GO:0099020,perinuclear endoplasmic reticulum lumen,1,1,0.13068
GO:0140261,BCOR complex,1,1,0.13068
GO:0090543,Flemming body,6,27,0.13164
GO:0030666,endocytic vesicle membrane,25,152,0.13225
GO:0000235,astral microtubule,3,10,0.13227
GO:0001527,microfibril,3,10,0.13227
GO:0005818,aster,3,10,0.13227
GO:0005838,proteasome regulatory particle,3,10,0.13227
GO:0043220,Schmidt-Lanterman incisure,3,10,0.13227
GO:0120025,plasma membrane bounded cell projection,249,1787,0.13235
GO:0120111,neuron projection cytoplasm,14,78,0.134
GO:0032279,asymmetric synapse,44,285,0.13439
GO:0000502,proteasome complex,11,59,0.14091
GO:0000786,nucleosome,11,59,0.14091
GO:0070820,tertiary granule,26,161,0.14754
GO:1990391,DNA repair complex,6,28,0.1501
GO:0005768,endosome,118,825,0.15199
GO:1905369,endopeptidase complex,11,60,0.15338
GO:0030016,myofibril,30,190,0.15577
GO:0000139,Golgi membrane,95,658,0.15717
GO:0030139,endocytic vesicle,42,275,0.15752
GO:1904724,tertiary granule lumen,10,54,0.16043
GO:0019898,extrinsic component of membrane,30,191,0.16291
GO:0001772,immunological synapse,7,35,0.16461
GO:0019005,SCF ubiquitin ligase complex,7,35,0.16461
GO:0005845,mRNA cap binding complex,3,11,0.16502
GO:0031332,RNAi effector complex,3,11,0.16502
GO:0035102,PRC1 complex,3,11,0.16502
GO:0044615,nuclear pore nuclear basket,3,11,0.16502
GO:0000118,histone deacetylase complex,9,48,0.16774
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,6,29,0.16963
GO:0098984,neuron to neuron synapse,46,306,0.17187
GO:0099572,postsynaptic specialization,46,306,0.17187
GO:0101031,chaperone complex,4,17,0.17324
GO:0045202,synapse,149,1061,0.17601
GO:0098791,Golgi subcompartment,106,744,0.17768
GO:0005593,FACIT collagen trimer,2,6,0.1791
GO:0030868,smooth endoplasmic reticulum membrane,2,6,0.1791
GO:0035748,myelin sheath abaxonal region,2,6,0.1791
GO:0042382,paraspeckles,2,6,0.1791
GO:0042824,MHC class I peptide loading complex,2,6,0.1791
GO:0071438,invadopodium membrane,2,6,0.1791
GO:0097227,sperm annulus,2,6,0.1791
GO:0097342,ripoptosome,2,6,0.1791
GO:0097425,smooth endoplasmic reticulum part,2,6,0.1791
GO:0030665,clathrin-coated vesicle membrane,17,103,0.18406
GO:0030864,cortical actin cytoskeleton,10,56,0.18931
GO:0032839,dendrite cytoplasm,6,30,0.19016
GO:0099738,cell cortex region,6,30,0.19016
GO:0098794,postsynapse,79,550,0.19557
GO:0097386,glial cell projection,5,24,0.19672
GO:0005765,lysosomal membrane,49,332,0.19833
GO:0098852,lytic vacuole membrane,49,332,0.19833
GO:0005871,kinesin complex,3,12,0.19983
GO:0008278,cohesin complex,3,12,0.19983
GO:0031464,Cul4A-RING E3 ubiquitin ligase complex,3,12,0.19983
GO:0034518,RNA cap binding complex,3,12,0.19983
GO:0097449,astrocyte projection,3,12,0.19983
GO:0031527,filopodium membrane,4,18,0.20116
GO:0005875,microtubule associated complex,15,91,0.20409
GO:0019897,extrinsic component of plasma membrane,16,98,0.20526
GO:0030670,phagocytic vesicle membrane,12,71,0.21145
GO:0031904,endosome lumen,6,31,0.21158
GO:0099513,polymeric cytoskeletal fiber,78,546,0.21178
GO:0016234,inclusion body,13,78,0.21365
GO:0016324,apical plasma membrane,43,291,0.21381
GO:0044450,microtubule organizing center part,25,162,0.2143
GO:0005771,multivesicular body,7,38,0.22151
GO:0002177,manchette,2,7,0.22998
GO:0005664,nuclear origin of replication recognition complex,2,7,0.22998
GO:0005832,chaperonin-containing T-complex,2,7,0.22998
GO:0005834,heterotrimeric G-protein complex,2,7,0.22998
GO:0031371,ubiquitin conjugating enzyme complex,2,7,0.22998
GO:0051286,cell tip,2,7,0.22998
GO:0070531,BRCA1-A complex,2,7,0.22998
GO:0070652,HAUS complex,2,7,0.22998
GO:0070852,cell body fiber,2,7,0.22998
GO:0071141,SMAD protein complex,2,7,0.22998
GO:1905360,GTPase complex,2,7,0.22998
GO:0035145,exon-exon junction complex,4,19,0.23029
GO:0030658,transport vesicle membrane,27,178,0.23047
GO:1904115,axon cytoplasm,9,52,0.23315
GO:0000800,lateral element,3,13,0.23614
GO:0001741,XY body,3,13,0.23614
GO:0031089,platelet dense granule lumen,3,13,0.23614
GO:0031616,spindle pole centrosome,3,13,0.23614
GO:0033276,transcription factor TFTC complex,3,13,0.23614
GO:0005905,clathrin-coated pit,11,66,0.23881
GO:0005592,collagen type XI trimer,1,2,0.24429
GO:0005655,nucleolar ribonuclease P complex,1,2,0.24429
GO:0005658,alpha DNA polymerase:primase complex,1,2,0.24429
GO:0005760,gamma DNA polymerase complex,1,2,0.24429
GO:0005900,oncostatin-M receptor complex,1,2,0.24429
GO:0005943,"phosphatidylinositol 3-kinase complex, class IA",1,2,0.24429
GO:0005956,protein kinase CK2 complex,1,2,0.24429
GO:0009328,phenylalanine-tRNA ligase complex,1,2,0.24429
GO:0009330,DNA topoisomerase complex (ATP-hydrolyzing),1,2,0.24429
GO:0019008,molybdopterin synthase complex,1,2,0.24429
GO:0019035,viral integration complex,1,2,0.24429
GO:0020005,symbiont-containing vacuole membrane,1,2,0.24429
GO:0031213,RSF complex,1,2,0.24429
GO:0031251,PAN complex,1,2,0.24429
GO:0031372,UBC13-MMS2 complex,1,2,0.24429
GO:0031436,BRCA1-BARD1 complex,1,2,0.24429
GO:0031523,Myb complex,1,2,0.24429
GO:0031838,haptoglobin-hemoglobin complex,1,2,0.24429
GO:0032116,SMC loading complex,1,2,0.24429
GO:0032302,MutSbeta complex,1,2,0.24429
GO:0034665,integrin alpha1-beta1 complex,1,2,0.24429
GO:0034667,integrin alpha3-beta1 complex,1,2,0.24429
GO:0034680,integrin alpha10-beta1 complex,1,2,0.24429
GO:0034681,integrin alpha11-beta1 complex,1,2,0.24429
GO:0034687,integrin alphaL-beta2 complex,1,2,0.24429
GO:0034688,integrin alphaM-beta2 complex,1,2,0.24429
GO:0035339,SPOTS complex,1,2,0.24429
GO:0035354,Toll-like receptor 1-Toll-like receptor 2 protein complex,1,2,0.24429
GO:0035517,PR-DUB complex,1,2,0.24429
GO:0036117,hyaluranon cable,1,2,0.24429
GO:0036156,inner dynein arm,1,2,0.24429
GO:0036502,Derlin-1-VIMP complex,1,2,0.24429
GO:0042825,TAP complex,1,2,0.24429
GO:0043511,inhibin complex,1,2,0.24429
GO:0043512,inhibin A complex,1,2,0.24429
GO:0044614,nuclear pore cytoplasmic filaments,1,2,0.24429
GO:0045025,mitochondrial degradosome,1,2,0.24429
GO:0045298,tubulin complex,1,2,0.24429
GO:0048269,methionine adenosyltransferase complex,1,2,0.24429
GO:0060053,neurofilament cytoskeleton,1,2,0.24429
GO:0060187,cell pole,1,2,0.24429
GO:0070195,growth hormone receptor complex,1,2,0.24429
GO:0070381,endosome to plasma membrane transport vesicle,1,2,0.24429
GO:0070436,Grb2-EGFR complex,1,2,0.24429
GO:0070554,synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex,1,2,0.24429
GO:0070557,PCNA-p21 complex,1,2,0.24429
GO:0071144,heteromeric SMAD protein complex,1,2,0.24429
GO:0071159,NF-kappaB complex,1,2,0.24429
GO:0071598,neuronal ribonucleoprotein granule,1,2,0.24429
